GuestID,GuestName,PhoneNumber,Age,LoyaltyMember
1125,Lisa Collins,6084058894,52,False
1126,Ashley Davis,3191086875,62,True
1127,Shirley Rivera,9955681157,56,False
1128,James Howard,5615693525,33,True
1129,Samantha Gonzalez,8876435564,28,False
1130,Anthony Martinez,8088529561,80,True
1131,Anthony Brown,2817760236,80,False
1132,Ashley Smith,5986415918,74,True
1133,Benjamin Lee,9118421415,21,True
1134,Jason Kim,4180651043,26,True
1135,Pamela Davis,6639151713,80,True
1136,Laura Wright,9184857912,47,False
1137,Rebecca Howard,6438633158,19,False
1138,Anthony Anderson,8683972721,44,True
1139,James Ramirez,5203028171,45,True
1140,Fatima Gonzalez,8025569369,42,False
1141,Elena Watson,9960831472,54,False
1142,Ingrid Williams,3484393013,33,False
1143,Carolyn Howard,2787645199,46,False
1144,Nicole Cook,5485626138,73,True
1145,Nicole Kowalski,3411295404,57,False
1146,Sandra Bell,8228413450,20,True
1147,William Taylor,2170314158,41,True
1148,Kimberly Price,8707687410,69,True
1149,Sandra Gomez,9607860533,78,False
1150,Samantha Peterson,7991262639,58,False
1151,Thomas Taylor,3453936018,79,False
1152,Samantha Baker,4471290457,33,False
1153,Debra Myers,8579910721,54,False
1154,Aisha Hassan,6383273704,71,True
1155,Deborah Morris,4732823494,46,False
1156,Ravi Davis,4624722816,28,False
1157,Fatima Okafor,2519625510,42,True
1158,Pamela Green,4516141755,31,False
1159,Jessica Perez,8818414899,63,True
1160,Helen Ivanova,4850122847,52,False
1161,Robert Walker,9983429904,75,True
1162,Benjamin Young,6134057256,56,False
1163,Brian Brooks,5284091165,36,True
1164,Debra Murphy,2088922834,28,False
1165,Melissa Morales,2283524527,24,False
1166,Anna Campbell,7690102753,45,True
1167,Jacob Edwards,7507332442,65,True
1168,Laura Walker,4635617051,28,False
1169,Kevin James,9726168675,39,True
1170,Yuki Chen,9070852930,26,False
1171,Elena Wilson,7168654689,43,True
1172,Kimberly Gomez,8407439606,56,False
1173,Anna Nelson,2187444082,27,False
1174,Raymond Nguyen,4296544936,19,True
1175,Yuki Baker,4690749175,48,False
1176,Zoe Taylor,9599426525,56,False
1177,Jennifer Flores,7999842315,38,False
1178,Katherine Kelly,9402674554,31,True
1179,Daniel Lewis,2605913981,65,False
1180,Christopher Wood,7424836936,59,False
1181,Ingrid Wright,5260587233,31,True
1182,Stephen Moore,4696323189,24,True
1183,Kimberly Kim,2535814578,73,False
1184,Emily Price,4932770150,23,True
1185,John Turner,8076485090,64,True
1186,Diego Miller,8022558051,57,True
1187,Dorothy Okafor,3107520917,53,False
1188,Charles Taylor,6810284403,35,False
1189,Mary Thompson,4441432846,75,False
1190,Joshua Hughes,7434212774,45,False
1191,Jonathan Morris,2110948264,63,False
1192,Sandra Price,7872993298,73,False
1193,Wei Peterson,5475300840,66,True
1194,Samantha Davis,7380853478,22,False
1195,Shirley Gray,3716067224,62,True
1196,Katherine Jackson,2804046434,28,True
1197,Zoe Bell,5269891293,44,True
1198,Kathleen Nguyen,9240589658,25,True
1199,Priya Young,4085701565,45,False
1200,Richard Murphy,3537461379,54,False
